date,accX,accY,accZ,gyrX,gyrY,gyrZ,posture,postureLbl
"2017-10-15 15:57:56 +0000",16588,-276,-1596,-5,15,19,0,1
"2017-10-15 15:57:56 +0000",16548,-248,-1244,14,22,251,0,1
"2017-10-15 15:57:56 +0000",16116,-468,-1548,15,1,238,0,1
"2017-10-15 15:57:56 +0000",16552,-348,-1532,6,-29,227,0,1
"2017-10-15 15:57:56 +0000",16620,-324,-1472,7,-27,192,0,1
"2017-10-15 15:57:56 +0000",16644,-88,-1408,38,-4,214,0,1
"2017-10-15 15:57:56 +0000",16544,40,-1356,29,-18,243,0,1
"2017-10-15 15:57:56 +0000",16568,-444,-1736,21,-15,246,0,1
"2017-10-15 15:57:56 +0000",16504,-612,-1872,8,-25,252,0,1
"2017-10-15 15:57:56 +0000",16616,-236,-2076,18,28,18,0,1
"2017-10-15 15:57:57 +0000",16980,-656,-1952,92,81,247,0,1
"2017-10-15 15:57:57 +0000",16208,620,-1696,234,50,227,0,1
"2017-10-15 15:57:57 +0000",16736,416,-1332,87,73,50,0,1
"2017-10-15 15:57:57 +0000",16416,120,-1552,3,71,29,0,1
"2017-10-15 15:57:57 +0000",16388,-264,-1196,-82,22,45,0,1
"2017-10-15 15:57:57 +0000",16412,-260,-1124,-35,-115,6,0,1
"2017-10-15 15:57:57 +0000",16828,176,-1672,-49,-68,234,0,1
"2017-10-15 15:57:57 +0000",16680,-232,-2020,-53,17,41,0,1
"2017-10-15 15:57:57 +0000",16124,-1160,-2044,-40,-19,242,0,1
"2017-10-15 15:57:58 +0000",16656,-468,-1756,68,46,41,0,1
"2017-10-15 15:57:58 +0000",16636,-152,-1952,68,53,56,0,1
"2017-10-15 15:57:58 +0000",15908,-168,-1616,105,12,150,0,1
"2017-10-15 15:57:58 +0000",16680,-1576,-1848,-11,-65,234,0,1
"2017-10-15 15:57:58 +0000",16620,-584,-1420,146,11,184,0,1
"2017-10-15 15:57:58 +0000",16372,-36,-1720,70,27,235,0,1
"2017-10-15 15:57:58 +0000",16468,-532,-1540,-42,44,236,0,1
"2017-10-15 15:57:58 +0000",16472,-700,-1756,17,19,229,0,1
"2017-10-15 15:57:58 +0000",16376,-680,-1616,75,22,21,0,1
"2017-10-15 15:57:58 +0000",16588,-152,-1644,131,-2,64,0,1
"2017-10-15 15:57:59 +0000",16712,-204,-1576,130,-1,221,0,1
"2017-10-15 15:57:59 +0000",16408,-60,-1660,-64,-29,214,0,1
"2017-10-15 15:57:59 +0000",16804,-952,-1800,-131,-28,71,0,1
"2017-10-15 15:57:59 +0000",16484,-832,-1688,47,2,169,0,1
"2017-10-15 15:57:59 +0000",16344,-428,-1724,80,26,250,0,1
"2017-10-15 15:57:59 +0000",16448,-600,-1980,26,-11,216,0,1
"2017-10-15 15:57:59 +0000",16600,-956,-2052,-4,-14,238,0,1
"2017-10-15 15:57:59 +0000",16344,-492,-1608,-34,4,230,0,1
"2017-10-15 15:57:59 +0000",16456,-908,-2140,-54,39,242,0,1
"2017-10-15 15:58:00 +0000",16456,-1320,-1888,-47,48,42,0,1
"2017-10-15 15:58:00 +0000",16392,-732,-1428,65,4,10,0,1
"2017-10-15 15:58:00 +0000",16452,-344,-1644,65,54,242,0,1
"2017-10-15 15:58:00 +0000",16460,-584,-1524,27,74,227,0,1
"2017-10-15 15:58:00 +0000",16396,-632,-1524,38,61,238,0,1
"2017-10-15 15:58:00 +0000",16432,-632,-1516,12,34,255,0,1
"2017-10-15 15:58:00 +0000",16380,-716,-1512,-16,28,2,0,1
"2017-10-15 15:58:00 +0000",16480,-668,-1384,-6,26,9,0,1
"2017-10-15 15:58:00 +0000",16500,-592,-1536,9,30,7,0,1
"2017-10-15 15:58:00 +0000",16292,-600,-1256,11,23,254,0,1
"2017-10-15 15:58:01 +0000",16300,-564,-1220,24,14,7,0,1
"2017-10-15 15:58:01 +0000",16452,-496,-872,22,-47,248,0,1
"2017-10-15 15:58:01 +0000",16340,-628,-1348,9,3,2,0,1
"2017-10-15 15:58:01 +0000",16512,-472,-1392,25,12,249,0,1
"2017-10-15 15:58:01 +0000",16472,-516,-1560,0,3,247,0,1
"2017-10-15 15:58:01 +0000",16440,-476,-1308,6,-24,245,0,1
"2017-10-15 15:58:01 +0000",16484,-668,-1572,46,28,245,0,1
"2017-10-15 15:58:01 +0000",16548,-352,-1528,47,-7,237,0,1
"2017-10-15 15:58:01 +0000",16392,-208,-1484,0,20,244,0,1
"2017-10-15 15:58:01 +0000",16416,-528,-1480,-35,20,252,0,1
"2017-10-15 15:58:02 +0000",16472,-676,-1552,9,17,6,0,1
"2017-10-15 15:58:02 +0000",16448,-520,-1492,42,23,250,0,1
"2017-10-15 15:58:02 +0000",16400,-360,-1540,32,17,0,0,1
"2017-10-15 15:58:02 +0000",16588,-352,-1484,2,-2,4,0,1
"2017-10-15 15:58:02 +0000",16484,-448,-1344,-32,-1,255,0,1
"2017-10-15 15:58:02 +0000",16428,-556,-1532,-8,0,8,0,1
"2017-10-15 15:58:02 +0000",16528,-432,-1544,26,10,2,0,1
"2017-10-15 15:58:02 +0000",16456,-412,-1632,38,11,255,0,1
"2017-10-15 15:58:02 +0000",16460,-316,-1564,32,14,4,0,1
"2017-10-15 15:58:03 +0000",16496,-292,-1612,12,7,13,0,1
"2017-10-15 15:58:03 +0000",16520,-460,-1676,5,13,13,0,1
"2017-10-15 15:58:03 +0000",16372,-496,-1564,-2,13,17,0,1
"2017-10-15 15:58:03 +0000",16408,-508,-1648,10,10,10,0,1
"2017-10-15 15:58:03 +0000",16472,-428,-1660,23,12,6,0,1
"2017-10-15 15:58:03 +0000",16516,-376,-1656,27,10,2,0,1
"2017-10-15 15:58:03 +0000",16396,-480,-1620,12,8,9,0,1
"2017-10-15 15:58:03 +0000",16524,-484,-1564,14,8,19,0,1
"2017-10-15 15:58:03 +0000",16440,-564,-1612,27,16,14,0,1
"2017-10-15 15:58:03 +0000",16432,-516,-1752,22,6,12,0,1
"2017-10-15 15:58:04 +0000",16504,-660,-1692,21,6,15,0,1
"2017-10-15 15:58:04 +0000",16432,-656,-1696,42,20,1,0,1
"2017-10-15 15:58:04 +0000",16536,-732,-1676,48,19,2,0,1
"2017-10-15 15:58:04 +0000",16472,-624,-1628,26,17,17,0,1
"2017-10-15 15:58:04 +0000",16416,-692,-1596,20,14,12,0,1
"2017-10-15 15:58:04 +0000",16588,-656,-1556,50,11,10,0,1
"2017-10-15 15:58:04 +0000",16380,-660,-1656,28,-6,254,0,1
"2017-10-15 15:58:04 +0000",16464,-684,-1708,9,-9,248,0,1
"2017-10-15 15:58:04 +0000",16496,-596,-1652,1,-14,241,0,1
"2017-10-15 15:58:05 +0000",16392,-636,-1856,-14,-3,226,0,1
"2017-10-15 15:58:05 +0000",16540,-688,-1800,-6,1,230,0,1
"2017-10-15 15:58:05 +0000",16480,-620,-1888,14,14,237,0,1
"2017-10-15 15:58:05 +0000",16448,-512,-1808,49,21,244,0,1
"2017-10-15 15:58:05 +0000",16404,-388,-1788,38,12,253,0,1
"2017-10-15 15:58:05 +0000",16464,-340,-1848,25,14,249,0,1
"2017-10-15 15:58:05 +0000",16460,-440,-1904,6,10,252,0,1
"2017-10-15 15:58:05 +0000",16344,-484,-1828,3,1,0,0,1
"2017-10-15 15:58:05 +0000",16512,-432,-1836,7,8,253,0,1
"2017-10-15 15:58:05 +0000",16540,-372,-1828,4,6,242,0,1
"2017-10-15 15:58:06 +0000",16492,-400,-1856,-8,10,231,0,1
"2017-10-15 15:58:06 +0000",16488,-516,-1868,4,14,255,0,1
"2017-10-15 15:58:06 +0000",16432,-380,-1864,33,18,5,0,1
"2017-10-15 15:58:06 +0000",16480,-284,-1720,39,21,3,0,1
"2017-10-15 15:58:06 +0000",16464,-500,-1896,50,22,7,0,1
"2017-10-15 15:58:06 +0000",16540,-324,-1996,10,19,252,0,1
"2017-10-15 15:58:06 +0000",16460,-504,-1856,-7,13,1,0,1
"2017-10-15 15:58:06 +0000",16352,-416,-1744,25,12,6,0,1
